scenario,signal,weight,weight_pct,CR
Balanced,SBERT,0.4615,46.15,-0.0
Balanced,Jaccard,0.2308,23.08,-0.0
Balanced,LDA-JSD,0.2308,23.08,-0.0
Balanced,VADER,0.0769,7.69,-0.0
Equal-Weights,SBERT,0.25,25.0,-0.0
Equal-Weights,Jaccard,0.25,25.0,-0.0
Equal-Weights,LDA-JSD,0.25,25.0,-0.0
Equal-Weights,VADER,0.25,25.0,-0.0
SBERT-Heavy,SBERT,0.605,60.5,0.0076
SBERT-Heavy,Jaccard,0.1666,16.66,0.0076
SBERT-Heavy,LDA-JSD,0.1666,16.66,0.0076
SBERT-Heavy,VADER,0.0618,6.18,0.0076
LDA-JSD-Heavy,SBERT,0.2672,26.72,0.0038
LDA-JSD-Heavy,Jaccard,0.1542,15.42,0.0038
LDA-JSD-Heavy,LDA-JSD,0.4959,49.59,0.0038
LDA-JSD-Heavy,VADER,0.0827,8.27,0.0038
Jaccard-Heavy,SBERT,0.2827,28.27,0.0038
Jaccard-Heavy,Jaccard,0.4899,48.99,0.0038
Jaccard-Heavy,LDA-JSD,0.1516,15.16,0.0038
Jaccard-Heavy,VADER,0.0758,7.58,0.0038
