firm_name,year,total_co2e_tonnes,facility_count
BP,2021,1110064190.2083244,167
BP,2022,1130895684.6725185,167
BP,2023,1115591014.4993088,167
BP,2024,1092067462.9882581,167
Chevron,2021,413399381.1945978,171
Chevron,2022,416837531.51644874,171
Chevron,2023,419193147.9074493,171
Chevron,2024,420518807.3769629,171
ConocoPhillips,2021,675905426.391812,595
ConocoPhillips,2022,680921814.2419732,595
ConocoPhillips,2023,683093564.1097938,595
ConocoPhillips,2024,673699841.7798353,595
Eni,2021,357639609.4330921,207
Eni,2022,373258502.4441364,207
Eni,2023,357258176.023262,207
Eni,2024,328249948.0624761,207
Equinor,2021,118498290.4672717,49
Equinor,2022,120120425.63086505,49
Equinor,2023,120462862.48574108,49
Equinor,2024,114747474.42764553,49
ExxonMobil,2021,611474545.429074,200
ExxonMobil,2022,634792568.9017006,200
ExxonMobil,2023,638174544.5252347,200
ExxonMobil,2024,618645171.2750853,200
Glencore,2021,102042632.37409225,142
Glencore,2022,99854169.75728413,142
Glencore,2023,100907966.87166362,142
Glencore,2024,101059443.83397497,142
Repsol,2021,302186299.7420561,111
Repsol,2022,319088021.1836246,111
Repsol,2023,323849412.95316416,111
Repsol,2024,306317800.24938565,111
RioTinto,2021,30534907.41260754,47
RioTinto,2022,30988373.19069188,47
RioTinto,2023,31273599.06800692,47
RioTinto,2024,31089156.0732209,47
Shell,2021,350034361.2824569,204
Shell,2022,370930393.51916957,204
Shell,2023,373861229.0120134,204
Shell,2024,371312444.0649742,204
TotalEnergies,2021,236029167.11288306,118
TotalEnergies,2022,242052895.4311698,118
TotalEnergies,2023,241703437.2214765,118
TotalEnergies,2024,231348130.8189545,118
Unilever,2021,40742616.4322919,41
Unilever,2022,39738104.45509491,41
Unilever,2023,42390409.62819449,41
Unilever,2024,41353604.747770675,41
