firm_name,year,total_co2e_tonnes,data_method,emissions_delta_pct
BP,2015,366876188.5068771,country_share_proxy,
BP,2016,372445614.5419282,country_share_proxy,0.0152
BP,2017,371177109.0237936,country_share_proxy,-0.0034
BP,2018,370845411.3527327,country_share_proxy,-0.0009
BP,2019,371742625.68592113,country_share_proxy,0.0024
BP,2020,352631888.54272765,country_share_proxy,-0.0514
BP,2021,91859955.91431704,facility_direct,-0.7395
BP,2022,90966568.23318678,facility_direct,-0.0097
BP,2023,90786046.98810458,facility_direct,-0.002
BP,2024,88330779.45259473,facility_direct,-0.027
Chevron,2015,575086881.0687457,country_share_proxy,
Chevron,2016,576496474.4442433,country_share_proxy,0.0025
Chevron,2017,586505467.1403351,country_share_proxy,0.0174
Chevron,2018,599810195.5385149,country_share_proxy,0.0227
Chevron,2019,607571630.3200479,country_share_proxy,0.0129
Chevron,2020,563537393.4376519,country_share_proxy,-0.0725
Chevron,2021,251737023.81819075,facility_direct,-0.5533
Chevron,2022,271285522.6300392,facility_direct,0.0777
Chevron,2023,265677691.92991865,facility_direct,-0.0207
Chevron,2024,265913940.2074126,facility_direct,0.0009
ConocoPhillips,2015,134970020.05722195,country_share_proxy,
ConocoPhillips,2016,135752499.02062064,country_share_proxy,0.0058
ConocoPhillips,2017,143559210.2546273,country_share_proxy,0.0575
ConocoPhillips,2018,147341736.64967218,country_share_proxy,0.0263
ConocoPhillips,2019,148042111.44890064,country_share_proxy,0.0048
ConocoPhillips,2020,131589965.53965276,country_share_proxy,-0.1111
ConocoPhillips,2021,625305.0935614139,facility_direct,-0.9952
ConocoPhillips,2022,649585.7835338379,facility_direct,0.0388
ConocoPhillips,2023,696218.801018131,facility_direct,0.0718
ConocoPhillips,2024,693372.8893066592,facility_direct,-0.0041
Eni,2015,457547051.9637248,country_share_proxy,
Eni,2016,477650307.4754151,country_share_proxy,0.0439
Eni,2017,479278050.5986548,country_share_proxy,0.0034
Eni,2018,476672277.2120777,country_share_proxy,-0.0054
Eni,2019,485094132.3663316,country_share_proxy,0.0177
Eni,2020,452371428.277689,country_share_proxy,-0.0675
Eni,2021,90112637.96352842,facility_direct,-0.8008
Eni,2022,90725532.43379092,facility_direct,0.0068
Eni,2023,87887806.04016078,facility_direct,-0.0313
Eni,2024,81184242.85815097,facility_direct,-0.0763
Equinor,2015,151319869.10073373,country_share_proxy,
Equinor,2016,150378846.82047808,country_share_proxy,-0.0062
Equinor,2017,150992661.94546178,country_share_proxy,0.0041
Equinor,2018,148665384.64218184,country_share_proxy,-0.0154
Equinor,2019,147695615.7832135,country_share_proxy,-0.0065
Equinor,2020,142193739.91005751,country_share_proxy,-0.0373
Equinor,2021,10295577.564074775,facility_direct,-0.9276
Equinor,2022,9805054.310699722,facility_direct,-0.0476
Equinor,2023,8307328.396109106,facility_direct,-0.1528
Equinor,2024,7913949.095066108,facility_direct,-0.0474
ExxonMobil,2015,525848492.9490037,country_share_proxy,
ExxonMobil,2016,524832117.8855864,country_share_proxy,-0.0019
ExxonMobil,2017,530592195.0293436,country_share_proxy,0.011
ExxonMobil,2018,536757432.1370572,country_share_proxy,0.0116
ExxonMobil,2019,540358943.6458691,country_share_proxy,0.0067
ExxonMobil,2020,510168013.2633667,country_share_proxy,-0.0559
ExxonMobil,2021,103517563.4197483,facility_direct,-0.7971
ExxonMobil,2022,108181259.75886089,facility_direct,0.0451
ExxonMobil,2023,108535077.36704664,facility_direct,0.0033
ExxonMobil,2024,109829429.34430069,facility_direct,0.0119
Glencore,2015,114715656.48303984,country_share_proxy,
Glencore,2016,115300014.97741546,country_share_proxy,0.0051
Glencore,2017,119471670.21603492,country_share_proxy,0.0362
Glencore,2018,123694308.16771182,country_share_proxy,0.0353
Glencore,2019,124566179.58789338,country_share_proxy,0.007
Glencore,2020,120472965.64410657,country_share_proxy,-0.0329
Glencore,2021,131650113.7200912,facility_direct,0.0928
Glencore,2022,129604318.39011994,facility_direct,-0.0155
Glencore,2023,133699331.6277769,facility_direct,0.0316
Glencore,2024,136631133.4356526,facility_direct,0.0219
Repsol,2015,191707089.61222827,country_share_proxy,
Repsol,2016,190922733.30318844,country_share_proxy,-0.0041
Repsol,2017,193154378.32947505,country_share_proxy,0.0117
Repsol,2018,193980234.8027149,country_share_proxy,0.0043
Repsol,2019,193235450.6104804,country_share_proxy,-0.0038
Repsol,2020,187897919.7124456,country_share_proxy,-0.0276
Repsol,2021,97520249.25932091,facility_direct,-0.481
Repsol,2022,106922732.42128044,facility_direct,0.0964
Repsol,2023,113748077.9542257,facility_direct,0.0638
Repsol,2024,112209181.89657898,facility_direct,-0.0135
RioTinto,2015,6578585.798935029,country_share_proxy,
RioTinto,2016,6795712.257736926,country_share_proxy,0.033
RioTinto,2017,6818726.678729633,country_share_proxy,0.0034
RioTinto,2018,7032493.501015635,country_share_proxy,0.0313
RioTinto,2019,7141446.554638343,country_share_proxy,0.0155
RioTinto,2020,6940737.23393058,country_share_proxy,-0.0281
RioTinto,2021,8248293.514090478,facility_direct,0.1884
RioTinto,2022,8409690.175781334,facility_direct,0.0196
RioTinto,2023,8508117.70002437,facility_direct,0.0117
RioTinto,2024,8363281.213811541,facility_direct,-0.017
Shell,2015,490601247.2581393,country_share_proxy,
Shell,2016,490033798.38052607,country_share_proxy,-0.0012
Shell,2017,496583350.8426354,country_share_proxy,0.0134
Shell,2018,505294279.3523369,country_share_proxy,0.0175
Shell,2019,506415780.3043512,country_share_proxy,0.0022
Shell,2020,482558525.6088171,country_share_proxy,-0.0471
Shell,2021,346780115.9018814,facility_direct,-0.2814
Shell,2022,355328144.3193273,facility_direct,0.0246
Shell,2023,355391876.40775007,facility_direct,0.0002
Shell,2024,353012310.3361543,facility_direct,-0.0067
TotalEnergies,2015,779964919.2581637,country_share_proxy,
TotalEnergies,2016,795050246.8995751,country_share_proxy,0.0193
TotalEnergies,2017,806411932.4040816,country_share_proxy,0.0143
TotalEnergies,2018,812009341.4081781,country_share_proxy,0.0069
TotalEnergies,2019,828124368.4201497,country_share_proxy,0.0198
TotalEnergies,2020,772364879.6501313,country_share_proxy,-0.0673
TotalEnergies,2021,846651077.0476938,facility_direct,0.0962
TotalEnergies,2022,868286250.4260249,facility_direct,0.0256
TotalEnergies,2023,873168972.3399446,facility_direct,0.0056
TotalEnergies,2024,850365703.6316502,facility_direct,-0.0261
