company,year,method,chars,words,chunk
BP,2014,cached,218196,34213,1
BP,2015,cached,221551,34781,1
BP,2016,cached,187712,30117,1
BP,2017,cached,151389,24292,1
BP,2018,cached,185961,29468,1
BP,2019,cached,251342,39253,1
BP,2020,cached,350231,56982,1
BP,2021,cached,212981,34744,1
BP,2022,cached,249755,40829,1
BP,2023,cached,267021,41534,1
BP,2024,cached,227260,36361,1
Chevron,2014,cached,74786,11183,1
Chevron,2015,cached,88031,12846,1
Chevron,2016,cached,89079,13054,1
Chevron,2017,cached,86607,12692,1
Chevron,2018,cached,96110,14153,1
Chevron,2019,cached,124718,18489,1
Chevron,2020,cached,194243,29041,1
Chevron,2021,cached,244363,36957,1
Chevron,2022,cached,220129,32463,1
Chevron,2023,cached,162248,22543,1
Chevron,2024,cached,219203,31666,1
ConocoPhillips,2014,cached,313659,46198,1
ConocoPhillips,2015,cached,131681,19689,1
ConocoPhillips,2016,cached,155793,23092,1
ConocoPhillips,2017,cached,138424,20950,1
ConocoPhillips,2018,cached,289763,38383,1
ConocoPhillips,2019,cached,313726,46142,1
ConocoPhillips,2020,cached,443939,65597,1
ConocoPhillips,2021,cached,272519,39771,1
ConocoPhillips,2022,cached,287965,41980,1
ConocoPhillips,2023,cached,220575,32353,1
ConocoPhillips,2024,cached,245008,36327,1
Eni,2015,cached,80757,12116,1
Eni,2016,cached,121278,18443,1
Eni,2017,cached,169869,25272,1
Eni,2018,cached,219323,32188,1
Eni,2019,cached,264944,38604,1
Eni,2020,cached,314362,46368,1
Eni,2021,cached,415036,62725,1
Eni,2022,cached,412901,63617,1
Eni,2023,cached,467961,74106,1
Eni,2024,cached,448096,69276,1
Equinor,2014,cached,142104,21386,1
Equinor,2015,cached,144880,22114,1
Equinor,2016,cached,159972,24788,1
Equinor,2017,cached,189026,29291,1
Equinor,2018,cached,133283,20185,1
Equinor,2019,cached,172941,26435,1
Equinor,2020,cached,204678,31928,1
Equinor,2021,cached,196016,30272,1
Equinor,2022,cached,326573,48932,1
Equinor,2023,cached,284485,42927,1
Equinor,2024,cached,247123,37627,1
ExxonMobil,2017,cached,83582,12130,1
ExxonMobil,2018,cached,120385,18181,1
ExxonMobil,2022,cached,157103,21537,1
ExxonMobil,2023,cached,208365,32750,1
ExxonMobil,2024,cached,219203,31666,1
Glencore,2014,cached,345178,51508,1
Glencore,2015,cached,342044,51338,1
Glencore,2016,cached,341286,51209,1
Glencore,2017,cached,315645,47077,1
Glencore,2018,cached,268554,39987,1
Glencore,2019,cached,313082,46055,1
Glencore,2020,cached,254438,37168,1
Glencore,2021,cached,289906,43110,1
Glencore,2022,cached,378211,55817,1
Glencore,2023,cached,269675,41673,1
Glencore,2024,cached,246411,38462,1
Repsol,2017,cached,444014,69323,1
Repsol,2018,cached,281592,45366,1
Repsol,2019,cached,328151,52499,1
Repsol,2020,cached,298295,47103,1
Repsol,2021,cached,290113,45118,1
Repsol,2022,cached,285482,44330,1
Repsol,2023,cached,321195,49779,1
Repsol,2024,cached,332516,50360,1
RioTinto,2014,cached,306466,46159,1
RioTinto,2015,cached,272055,41275,1
RioTinto,2016,cached,277895,41734,1
RioTinto,2017,cached,269334,40250,1
RioTinto,2018,cached,305348,43233,1
RioTinto,2019,cached,323520,49592,1
RioTinto,2020,cached,327388,50523,1
RioTinto,2021,cached,501785,78890,1
RioTinto,2022,cached,609931,97799,1
RioTinto,2023,cached,194912,31612,1
RioTinto,2024,cached,478126,72247,1
Shell,2014,cached,260072,40860,1
Shell,2015,cached,241847,37470,1
Shell,2016,cached,273120,40918,1
Shell,2017,cached,264665,39463,1
Shell,2018,cached,325810,48143,1
Shell,2019,cached,296136,44034,1
Shell,2020,cached,341533,50681,1
Shell,2021,cached,228921,34568,1
Shell,2022,cached,264580,40129,1
Shell,2023,cached,310674,46962,1
TotalEnergies,2016,cached,81647,13048,1
TotalEnergies,2017,cached,111396,17544,1
TotalEnergies,2018,cached,124402,19605,1
TotalEnergies,2019,cached,139384,21733,1
TotalEnergies,2020,cached,132201,21055,1
TotalEnergies,2021,cached,385322,59465,1
TotalEnergies,2022,cached,246084,39732,1
TotalEnergies,2023,cached,303702,50009,1
TotalEnergies,2024,cached,302615,48777,1
Unilever,2014,cached,423786,66166,1
Unilever,2015,cached,376277,58443,1
Unilever,2016,cached,436868,67520,1
Unilever,2017,cached,381362,56854,1
Unilever,2018,cached,282003,43200,1
Unilever,2019,cached,483052,75793,1
Unilever,2020,cached,444553,69319,1
Unilever,2021,cached,402384,62274,1
Unilever,2022,cached,295123,45520,1
Unilever,2023,cached,295123,45520,1
Unilever,2024,cached,312611,47491,1
