firm_name,jaccard_overlap,lda_jsd,sbert_drift,vader_delta
BP,1.0,0.2846015121037664,0.16862842892768082,0.12095557418273259
Chevron,0.9436097932407895,0.41120205313171954,0.3635910224438902,0.3663872590108968
ConocoPhillips,0.8532771041996134,0.48317957966289804,0.5646882793017456,-0.6495389773679798
Eni,0.8354647038533877,0.23058426394765444,0.32119700748129676,-0.3255099189717799
Equinor,0.9464212499267848,0.23586737878892974,0.28877805486284286,-0.07619446772841565
ExxonMobil,0.8675979616939026,1.0,1.0,1.0
Glencore,0.968019680196802,0.1861136158701533,0.19930174563591022,-0.0502933780385583
Repsol,0.991080318966455,0.23597142262606643,0.15475596722479515,-0.13399592863130158
RioTinto,0.8980700521290927,0.7618505930498717,0.8857855361596009,0.3324392288348701
Shell,0.9351510181768485,0.18739451110956973,0.31421446384039897,-0.3310980720871752
TotalEnergies,0.9200565219937914,0.2666903655406812,0.2242518703241895,-0.17571248952221288
Unilever,0.9780501376442335,0.5035513629742665,0.49301745635910216,0.3427493713327745
