firm_name,year,gunning_fog_index,type_token_ratio,obfuscation_flag
BP,2014,16.6653,0.1366,0
BP,2015,16.7015,0.1355,0
BP,2016,16.3946,0.1395,0
BP,2017,15.8763,0.1414,0
BP,2018,17.1948,0.1373,0
BP,2019,17.242,0.1266,0
BP,2020,18.2982,0.1253,0
BP,2021,18.3889,0.1265,0
BP,2022,17.4171,0.12,0
BP,2023,18.1969,0.1239,0
BP,2024,18.3748,0.1255,0
Chevron,2014,15.9644,0.2083,0
Chevron,2015,16.5925,0.1922,0
Chevron,2016,16.4686,0.1877,0
Chevron,2017,17.1025,0.1968,0
Chevron,2018,17.0837,0.1954,0
Chevron,2019,16.7425,0.1679,0
Chevron,2020,17.4857,0.1551,0
Chevron,2021,20.42,0.1606,0
Chevron,2022,18.8385,0.1659,0
Chevron,2023,18.7215,0.1547,0
Chevron,2024,18.2897,0.1286,0
ConocoPhillips,2014,21.9617,0.156,0
ConocoPhillips,2015,17.6582,0.177,0
ConocoPhillips,2016,18.0338,0.1802,0
ConocoPhillips,2017,17.8972,0.1836,0
ConocoPhillips,2018,17.1298,0.1363,0
ConocoPhillips,2019,18.9818,0.1863,0
ConocoPhillips,2020,19.7871,0.1439,0
ConocoPhillips,2021,21.0495,0.1299,1
ConocoPhillips,2022,20.7638,0.1331,0
ConocoPhillips,2023,19.7336,0.1309,0
ConocoPhillips,2024,19.7418,0.1313,0
Eni,2015,22.2166,0.2157,0
Eni,2016,20.6225,0.1777,0
Eni,2017,20.2488,0.1733,0
Eni,2018,23.2373,0.2117,0
Eni,2019,21.7325,0.2158,0
Eni,2020,23.3715,0.1722,0
Eni,2021,23.3307,0.1327,0
Eni,2022,24.3545,0.1551,0
Eni,2023,23.3387,0.1704,0
Eni,2024,22.5111,0.1444,0
Equinor,2014,18.2572,0.1321,0
Equinor,2015,17.6693,0.1353,0
Equinor,2016,17.5062,0.1349,0
Equinor,2017,19.5185,0.1276,0
Equinor,2018,18.9041,0.1432,0
Equinor,2019,19.0345,0.1359,0
Equinor,2020,18.6344,0.1277,0
Equinor,2021,18.5322,0.133,0
Equinor,2022,19.7082,0.1334,0
Equinor,2023,19.2589,0.1309,0
Equinor,2024,18.6151,0.1248,0
ExxonMobil,2017,17.4156,0.1962,0
ExxonMobil,2018,17.2181,0.1604,0
ExxonMobil,2022,19.9661,0.1367,0
ExxonMobil,2023,21.2041,0.1277,1
ExxonMobil,2024,18.2897,0.1286,0
Glencore,2014,20.2907,0.1317,0
Glencore,2015,20.6879,0.1303,1
Glencore,2016,20.1898,0.1303,1
Glencore,2017,19.9903,0.1285,1
Glencore,2018,20.3281,0.1333,0
Glencore,2019,20.5965,0.1242,1
Glencore,2020,21.4772,0.1322,0
Glencore,2021,21.214,0.1303,1
Glencore,2022,21.0266,0.1335,0
Glencore,2023,21.2662,0.1317,0
Glencore,2024,21.4366,0.1278,1
Repsol,2017,16.0535,0.1353,0
Repsol,2018,16.8511,0.1328,0
Repsol,2019,16.0929,0.1406,0
Repsol,2020,16.5434,0.1332,0
Repsol,2021,17.9557,0.1393,0
Repsol,2022,18.1052,0.1371,0
Repsol,2023,18.0301,0.1371,0
Repsol,2024,17.6638,0.1419,0
RioTinto,2014,17.5356,0.1409,0
RioTinto,2015,17.5073,0.1364,0
RioTinto,2016,17.6591,0.1383,0
RioTinto,2017,17.9004,0.1362,0
RioTinto,2018,19.073,0.1129,0
RioTinto,2019,17.1901,0.1124,0
RioTinto,2020,17.2003,0.1292,0
RioTinto,2021,17.5756,0.1025,0
RioTinto,2022,16.76,0.0991,0
RioTinto,2023,19.9598,0.1488,0
RioTinto,2024,16.5029,0.1301,0
Shell,2014,16.4555,0.132,0
Shell,2015,17.4106,0.1315,0
Shell,2016,18.1872,0.1587,0
Shell,2017,18.3008,0.1704,0
Shell,2018,18.3122,0.1755,0
Shell,2019,16.061,0.152,0
Shell,2020,16.4579,0.1416,0
Shell,2021,18.6621,0.1252,0
Shell,2022,18.4096,0.1296,0
Shell,2023,18.8017,0.1296,0
TotalEnergies,2016,14.6002,0.1835,0
TotalEnergies,2017,16.326,0.1611,0
TotalEnergies,2018,16.0028,0.1504,0
TotalEnergies,2019,16.5161,0.1469,0
TotalEnergies,2020,17.547,0.1455,0
TotalEnergies,2021,18.5715,0.1518,0
TotalEnergies,2022,17.8359,0.1453,0
TotalEnergies,2023,17.2252,0.1543,0
TotalEnergies,2024,17.9145,0.1395,0
Unilever,2014,20.5311,0.1255,1
Unilever,2015,15.8096,0.1354,0
Unilever,2016,16.2993,0.1453,0
Unilever,2017,16.7624,0.143,0
Unilever,2018,16.5458,0.1486,0
Unilever,2019,14.7932,0.1353,0
Unilever,2020,16.7664,0.1358,0
Unilever,2021,15.4393,0.1369,0
Unilever,2022,16.6662,0.1261,0
Unilever,2023,16.6662,0.1261,0
Unilever,2024,16.0966,0.1302,0
