firm_name,year,controversy_density
BP,2014,4.447
BP,2015,3.0537
BP,2016,2.0243
BP,2017,2.2
BP,2018,1.7964
BP,2019,0.9131
BP,2020,1.1982
BP,2021,1.6287
BP,2022,1.4635
BP,2023,1.9827
BP,2024,1.7674
Chevron,2014,1.8572
Chevron,2015,2.7061
Chevron,2016,2.8419
Chevron,2017,3.6551
Chevron,2018,3.1573
Chevron,2019,2.6231
Chevron,2020,1.551
Chevron,2021,2.4378
Chevron,2022,2.7052
Chevron,2023,3.249
Chevron,2024,2.4435
ConocoPhillips,2014,4.4477
ConocoPhillips,2015,1.6357
ConocoPhillips,2016,2.1485
ConocoPhillips,2017,1.257
ConocoPhillips,2018,3.3351
ConocoPhillips,2019,2.7216
ConocoPhillips,2020,2.7505
ConocoPhillips,2021,3.5883
ConocoPhillips,2022,2.9589
ConocoPhillips,2023,4.4954
ConocoPhillips,2024,4.4579
Eni,2015,1.5385
Eni,2016,1.8528
Eni,2017,2.0537
Eni,2018,2.2045
Eni,2019,2.8437
Eni,2020,2.7838
Eni,2021,2.2445
Eni,2022,1.3897
Eni,2023,1.9275
Eni,2024,4.1471
Equinor,2014,2.934
Equinor,2015,2.8335
Equinor,2016,2.7637
Equinor,2017,2.4797
Equinor,2018,2.5791
Equinor,2019,1.9791
Equinor,2020,1.9438
Equinor,2021,2.0907
Equinor,2022,1.4454
Equinor,2023,1.8512
Equinor,2024,1.404
ExxonMobil,2017,2.3548
ExxonMobil,2018,2.6608
ExxonMobil,2022,3.8521
ExxonMobil,2023,0.9954
ExxonMobil,2024,2.4435
Glencore,2014,2.8946
Glencore,2015,4.5843
Glencore,2016,3.3143
Glencore,2017,2.0825
Glencore,2018,2.6543
Glencore,2019,2.0851
Glencore,2020,1.4399
Glencore,2021,1.5174
Glencore,2022,2.3408
Glencore,2023,1.9428
Glencore,2024,2.1841
Repsol,2017,1.6676
Repsol,2018,1.8343
Repsol,2019,2.3395
Repsol,2020,1.5147
Repsol,2021,1.8071
Repsol,2022,1.3137
Repsol,2023,2.5507
Repsol,2024,1.8358
RioTinto,2014,1.4525
RioTinto,2015,2.8325
RioTinto,2016,3.4575
RioTinto,2017,3.7004
RioTinto,2018,3.2739
RioTinto,2019,0.4996
RioTinto,2020,1.1668
RioTinto,2021,0.6771
RioTinto,2022,0.588
RioTinto,2023,3.2034
RioTinto,2024,1.4179
Shell,2014,1.5521
Shell,2015,2.1543
Shell,2016,1.9578
Shell,2017,2.336
Shell,2018,1.5662
Shell,2019,1.284
Shell,2020,3.5838
Shell,2021,1.8589
Shell,2022,2.1067
Shell,2023,1.8951
TotalEnergies,2016,0.5827
TotalEnergies,2017,1.3229
TotalEnergies,2018,1.3366
TotalEnergies,2019,1.3872
TotalEnergies,2020,1.5774
TotalEnergies,2021,1.5155
TotalEnergies,2022,1.5202
TotalEnergies,2023,1.2691
TotalEnergies,2024,1.048
Unilever,2014,5.3094
Unilever,2015,0.7031
Unilever,2016,1.1119
Unilever,2017,2.0211
Unilever,2018,1.3274
Unilever,2019,0.9304
Unilever,2020,0.9793
Unilever,2021,1.1793
Unilever,2022,0.8818
Unilever,2023,0.8818
Unilever,2024,0.7065
