firm_name,year_from,year_to,sbert_drift,eu_flag,period,group
BP,2014,2015,0.0101,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2015,2016,0.0095,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2016,2017,0.0077,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2017,2018,0.0074,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2018,2019,0.023,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2019,2020,0.0155,True,Pre-CSRD (before 2021),"EU Firms
Pre-CSRD (before 2021)"
BP,2020,2021,0.0074,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
BP,2021,2022,0.0138,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
BP,2022,2023,0.007,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
BP,2023,2024,0.0113,True,Post-CSRD (2021+),"EU Firms
Post-CSRD (2021+)"
Chevron,2014,2015,0.0131,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2015,2016,0.0077,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2016,2017,0.0084,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2017,2018,0.0136,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2018,2019,0.0139,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2019,2020,0.0218,False,Pre-CSRD (before 2021),"Non-EU Firms
Pre-CSRD (before 2021)"
Chevron,2020,2021,0.0284,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Chevron,2021,2022,0.0117,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Chevron,2022,2023,0.0084,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
Chevron,2023,2024,0.116,False,Post-CSRD (2021+),"Non-EU Firms
Post-CSRD (2021+)"
