firm_name,year,words
BP,2014,34213
BP,2015,34781
BP,2016,30117
BP,2017,24292
BP,2018,29468
BP,2019,39253
BP,2020,56982
BP,2021,34744
BP,2022,40829
BP,2023,41534
BP,2024,36361
Chevron,2014,11183
Chevron,2015,12846
Chevron,2016,13054
Chevron,2017,12692
Chevron,2018,14153
Chevron,2019,18489
Chevron,2020,29041
Chevron,2021,36957
Chevron,2022,32463
Chevron,2023,22543
Chevron,2024,31666
ConocoPhillips,2014,46198
ConocoPhillips,2015,19689
ConocoPhillips,2016,23092
ConocoPhillips,2017,20950
ConocoPhillips,2018,38383
ConocoPhillips,2019,46142
ConocoPhillips,2020,65597
ConocoPhillips,2021,39771
ConocoPhillips,2022,41980
ConocoPhillips,2023,32353
ConocoPhillips,2024,36327
Eni,2015,12116
Eni,2016,18443
Eni,2017,25272
Eni,2018,32188
Eni,2019,38604
Eni,2020,46368
Eni,2021,62725
Eni,2022,63617
Eni,2023,74106
Eni,2024,69276
Equinor,2014,21386
Equinor,2015,22114
Equinor,2016,24788
Equinor,2017,29291
Equinor,2018,20185
Equinor,2019,26435
Equinor,2020,31928
Equinor,2021,30272
Equinor,2022,48932
Equinor,2023,42927
Equinor,2024,37627
ExxonMobil,2017,12130
ExxonMobil,2018,18181
ExxonMobil,2022,21537
ExxonMobil,2023,32750
ExxonMobil,2024,31666
Glencore,2014,51508
Glencore,2015,51338
Glencore,2016,51209
Glencore,2017,47077
Glencore,2018,39987
Glencore,2019,46055
Glencore,2020,37168
Glencore,2021,43110
Glencore,2022,55817
Glencore,2023,41673
Glencore,2024,38462
Repsol,2017,69323
Repsol,2018,45366
Repsol,2019,52499
Repsol,2020,47103
Repsol,2021,45118
Repsol,2022,44330
Repsol,2023,49779
Repsol,2024,50360
RioTinto,2014,46159
RioTinto,2015,41275
RioTinto,2016,41734
RioTinto,2017,40250
RioTinto,2018,43233
RioTinto,2019,49592
RioTinto,2020,50523
RioTinto,2021,78890
RioTinto,2022,97799
RioTinto,2023,31612
RioTinto,2024,72247
Shell,2014,40860
Shell,2015,37470
Shell,2016,40918
Shell,2017,39463
Shell,2018,48143
Shell,2019,44034
Shell,2020,50681
Shell,2021,34568
Shell,2022,40129
Shell,2023,46962
TotalEnergies,2016,13048
TotalEnergies,2017,17544
TotalEnergies,2018,19605
TotalEnergies,2019,21733
TotalEnergies,2020,21055
TotalEnergies,2021,59465
TotalEnergies,2022,39732
TotalEnergies,2023,50009
TotalEnergies,2024,48777
Unilever,2014,66166
Unilever,2015,58443
Unilever,2016,67520
Unilever,2017,56854
Unilever,2018,43200
Unilever,2019,75793
Unilever,2020,69319
Unilever,2021,62274
Unilever,2022,45520
Unilever,2023,45520
Unilever,2024,47491
