firm_name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BP,0.7015,0.6831,0.7083,0.692,0.643,0.6455,0.6595,0.6793,0.7195,0.6975
Chevron,0.6846,0.6845,0.6756,0.7024,0.6615,0.595,0.6003,0.6295,0.678,0.5327
ConocoPhillips,0.5786,0.6489,0.6245,0.3508,0.3973,0.5123,0.6022,0.7112,0.6328,0.7686
Eni,,0.5833,0.5598,0.5602,0.5743,0.5792,0.5688,0.6239,0.5513,0.5342
Equinor,0.6417,0.6779,0.6489,0.6277,0.6811,0.6494,0.6544,0.5846,0.6564,0.6412
ExxonMobil,,,,0.648,,,,,0.5437,0.5858
Glencore,0.6501,0.6447,0.6329,0.654,0.6488,0.6709,0.6723,0.6373,0.663,0.7368
Repsol,,,,0.6727,0.6387,0.636,0.6656,0.7016,0.7129,0.7103
RioTinto,0.6553,0.6303,0.6771,0.634,0.5757,0.6815,0.6157,0.6498,0.5019,0.5118
Shell,0.6539,0.627,0.6119,0.6037,0.6301,0.6261,0.5983,0.6994,0.6973,
TotalEnergies,,,0.6599,0.688,0.6669,0.6707,0.5412,0.583,0.5989,0.618
Unilever,0.5668,0.6492,0.6577,0.687,0.6453,0.6352,0.6365,0.6079,1.0,0.5937
