firm_name,year,gunning_fog_index,type_token_ratio,controversy_density,social_index,n_social_paragraphs,circularity_density,word_count,obfuscation_flag
BP,2014,16.6653,0.1366,4.447,0.5919,349,0.4118,24286,0
BP,2015,16.7015,0.1355,3.0537,0.5662,348,0.4539,24233,0
BP,2016,16.3946,0.1395,2.0243,0.5128,371,0.2892,24206,0
BP,2017,15.8763,0.1414,2.2,0.3724,365,0.1222,24545,0
BP,2018,17.1948,0.1373,1.7964,0.5974,381,0.2089,23937,0
BP,2019,17.242,0.1266,0.9131,0.7382,296,0.415,24095,0
BP,2020,18.2982,0.1253,1.1982,0.6276,240,0.679,25037,0
BP,2021,18.3889,0.1265,1.6287,0.7574,322,0.2036,24559,0
BP,2022,17.4171,0.12,1.4635,0.6819,252,0.2769,25282,0
BP,2023,18.1969,0.1239,1.9827,0.6286,310,0.2065,24210,0
BP,2024,18.3748,0.1255,1.7674,0.6336,378,0.2877,24329,0
Chevron,2014,15.9644,0.2083,1.8572,0.6389,237,0.6753,11846,0
Chevron,2015,16.5925,0.1922,2.7061,0.5387,265,0.7314,13673,0
Chevron,2016,16.4686,0.1877,2.8419,0.5488,233,0.1421,14075,0
Chevron,2017,17.1025,0.1968,3.6551,0.5347,271,0.8205,13406,0
Chevron,2018,17.0837,0.1954,3.1573,0.5871,281,0.4702,14886,0
Chevron,2019,16.7425,0.1679,2.6231,0.6951,351,0.36,19443,0
Chevron,2020,17.4857,0.1551,1.551,0.6553,404,0.3773,23855,0
Chevron,2021,20.42,0.1606,2.4378,0.7706,348,1.0195,22561,0
Chevron,2022,18.8385,0.1659,2.7052,0.7687,374,1.4672,21810,0
Chevron,2023,18.7215,0.1547,3.249,0.8245,336,0.8476,21237,0
Chevron,2024,18.2897,0.1286,2.4435,0.5889,34,0.4887,22509,0
ConocoPhillips,2014,21.9617,0.156,4.4477,0.7964,382,2.0634,21809,0
ConocoPhillips,2015,17.6582,0.177,1.6357,0.7398,289,0.9913,20175,0
ConocoPhillips,2016,18.0338,0.1802,2.1485,0.7821,283,1.0523,22807,0
ConocoPhillips,2017,17.8972,0.1836,1.257,0.6993,305,0.9311,21479,0
ConocoPhillips,2018,17.1298,0.1363,3.3351,0.6369,404,0.0388,25786,0
ConocoPhillips,2019,18.9818,0.1863,2.7216,0.7425,457,0.0938,21311,0
ConocoPhillips,2020,19.7871,0.1439,2.7505,0.6759,358,0.1399,21451,0
ConocoPhillips,2021,21.0495,0.1299,3.5883,0.5886,237,0.0454,22016,1
ConocoPhillips,2022,20.7638,0.1331,2.9589,0.5867,224,0.0925,21630,0
ConocoPhillips,2023,19.7336,0.1309,4.4954,0.6318,135,0.6294,22245,0
ConocoPhillips,2024,19.7418,0.1313,4.4579,0.5934,126,0.3121,22432,0
Eni,2015,22.2166,0.2157,1.5385,0.7488,193,0.1619,12350,0
Eni,2016,20.6225,0.1777,1.8528,0.5702,273,0.0529,18890,0
Eni,2017,20.2488,0.1733,2.0537,0.7132,387,0.3933,22885,0
Eni,2018,23.2373,0.2117,2.2045,0.6794,457,0.4499,22227,0
Eni,2019,21.7325,0.2158,2.8437,0.7052,416,1.1997,22506,0
Eni,2020,23.3715,0.1722,2.7838,0.613,533,0.9279,22631,0
Eni,2021,23.3307,0.1327,2.2445,0.6975,379,1.4523,22722,0
Eni,2022,24.3545,0.1551,1.3897,0.7257,334,1.52,23027,0
Eni,2023,23.3387,0.1704,1.9275,0.7404,272,0.7792,24384,0
Eni,2024,22.5111,0.1444,4.1471,0.463,272,0.8551,23390,0
Equinor,2014,18.2572,0.1321,2.934,0.6288,331,0.3209,21813,0
Equinor,2015,17.6693,0.1353,2.8335,0.6375,343,0.2214,22587,0
Equinor,2016,17.5062,0.1349,2.7637,0.6824,323,0.0837,23881,0
Equinor,2017,19.5185,0.1276,2.4797,0.6893,357,0.0428,23390,0
Equinor,2018,18.9041,0.1432,2.5791,0.6049,334,0.0973,20550,0
Equinor,2019,19.0345,0.1359,1.9791,0.6958,359,0.043,23243,0
Equinor,2020,18.6344,0.1277,1.9438,0.5631,331,0.0414,24179,0
Equinor,2021,18.5322,0.133,2.0907,0.5939,322,0.2091,23916,0
Equinor,2022,19.7082,0.1334,1.4454,0.6775,265,0.0,22831,0
Equinor,2023,19.2589,0.1309,1.8512,0.5742,176,0.0,23228,0
Equinor,2024,18.6151,0.1248,1.404,0.6014,173,0.0,23505,0
ExxonMobil,2017,17.4156,0.1962,2.3548,0.6329,271,0.314,12740,0
ExxonMobil,2018,17.2181,0.1604,2.6608,0.6257,402,1.2772,18791,0
ExxonMobil,2022,19.9661,0.1367,3.8521,0.7397,428,1.6442,21287,0
ExxonMobil,2023,21.2041,0.1277,0.9954,0.6533,49,1.4479,22101,1
ExxonMobil,2024,18.2897,0.1286,2.4435,0.5889,34,0.4887,22509,0
Glencore,2014,20.2907,0.1317,2.8946,0.5362,489,0.7017,22801,0
Glencore,2015,20.6879,0.1303,4.5843,0.5646,458,0.5786,22468,1
Glencore,2016,20.1898,0.1303,3.3143,0.5975,439,0.6629,22629,1
Glencore,2017,19.9903,0.1285,2.0825,0.4054,386,0.7089,22569,1
Glencore,2018,20.3281,0.1333,2.6543,0.5033,377,0.4424,22605,0
Glencore,2019,20.5965,0.1242,2.0851,0.5418,393,0.2662,22541,1
Glencore,2020,21.4772,0.1322,1.4399,0.5027,432,0.6749,22224,0
Glencore,2021,21.214,0.1303,1.5174,0.5337,356,3.0348,22407,1
Glencore,2022,21.0266,0.1335,2.3408,0.5463,469,0.1801,22215,0
Glencore,2023,21.2662,0.1317,1.9428,0.4669,411,0.2711,22133,0
Glencore,2024,21.4366,0.1278,2.1841,0.5143,419,0.182,21977,1
