firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta
BP,2014,2015,0.0101,0.7015,0.0219,0.0305
BP,2015,2016,0.0095,0.6831,0.205,-0.0849
BP,2016,2017,0.0077,0.7083,0.1985,-0.0189
BP,2017,2018,0.0074,0.692,0.0173,0.1043
BP,2018,2019,0.023,0.643,0.1864,0.004
BP,2019,2020,0.0155,0.6455,0.3389,0.0399
BP,2020,2021,0.0074,0.6595,0.128,-0.0414
BP,2021,2022,0.0138,0.6793,0.0299,0.0427
BP,2022,2023,0.007,0.7195,0.1455,-0.0275
BP,2023,2024,0.0113,0.6975,0.0963,-0.0006
Chevron,2014,2015,0.0131,0.6846,0.1632,0.0332
Chevron,2015,2016,0.0077,0.6845,0.0522,-0.1029
Chevron,2016,2017,0.0084,0.6756,0.0541,-0.0106
Chevron,2017,2018,0.0136,0.7024,0.0552,0.0146
Chevron,2018,2019,0.0139,0.6615,0.0648,0.0852
Chevron,2019,2020,0.0218,0.595,0.2886,-0.009
Chevron,2020,2021,0.0284,0.6003,0.2965,0.1075
Chevron,2021,2022,0.0117,0.6295,0.0207,0.0246
Chevron,2022,2023,0.0084,0.678,0.0059,0.0043
Chevron,2023,2024,0.116,0.5327,0.9749,-0.0012
ConocoPhillips,2014,2015,0.0458,0.5786,0.5566,0.0325
ConocoPhillips,2015,2016,0.0119,0.6489,0.033,-0.0134
ConocoPhillips,2016,2017,0.0149,0.6245,0.0853,-0.0143
ConocoPhillips,2017,2018,0.1284,0.3508,0.6801,-0.2165
ConocoPhillips,2018,2019,0.0646,0.3973,0.0741,-0.0262
ConocoPhillips,2019,2020,0.0341,0.5123,0.242,0.041
ConocoPhillips,2020,2021,0.0341,0.6022,0.2107,0.0265
ConocoPhillips,2021,2022,0.0045,0.7112,0.0167,0.0255
ConocoPhillips,2022,2023,0.0347,0.6328,0.4213,0.0214
ConocoPhillips,2023,2024,0.0044,0.7686,0.0022,-0.1348
Eni,2015,2016,0.0139,0.5833,0.0042,-0.0079
Eni,2016,2017,0.0424,0.5598,0.1789,-0.0482
Eni,2017,2018,0.0239,0.5602,0.1244,-0.0853
Eni,2018,2019,0.0099,0.5743,0.0675,0.1373
Eni,2019,2020,0.0218,0.5792,0.0969,-0.0425
Eni,2020,2021,0.0387,0.5688,0.2675,-0.0451
Eni,2021,2022,0.0124,0.6239,0.0674,0.0627
Eni,2022,2023,0.0133,0.5513,0.0126,0.0331
Eni,2023,2024,0.0169,0.5342,0.1779,-0.1206
Equinor,2014,2015,0.0089,0.6417,0.0036,-0.0415
Equinor,2015,2016,0.0122,0.6779,0.0005,0.0856
Equinor,2016,2017,0.0101,0.6489,0.0036,-0.0923
Equinor,2017,2018,0.0527,0.6277,0.3805,-0.0369
Equinor,2018,2019,0.008,0.6811,0.043,0.1645
Equinor,2019,2020,0.0071,0.6494,0.046,-0.0377
Equinor,2020,2021,0.0109,0.6544,0.0116,-0.0515
Equinor,2021,2022,0.0441,0.5846,0.4801,0.0184
Equinor,2022,2023,0.0245,0.6564,0.1549,-0.1288
Equinor,2023,2024,0.0145,0.6412,0.0097,0.0899
ExxonMobil,2017,2018,0.013,0.648,0.0287,0.0098
ExxonMobil,2022,2023,0.1696,0.5437,0.9839,0.0211
ExxonMobil,2023,2024,0.0179,0.5858,0.4291,0.0884
Glencore,2014,2015,0.012,0.6501,0.0115,0.0781
Glencore,2015,2016,0.0182,0.6447,0.1415,-0.2868
Glencore,2016,2017,0.0176,0.6329,0.1223,-0.0225
Glencore,2017,2018,0.0105,0.654,0.0372,0.1454
Glencore,2018,2019,0.0084,0.6488,0.1533,0.1074
Glencore,2019,2020,0.0129,0.6709,0.0902,0.0344
Glencore,2020,2021,0.0142,0.6723,0.0044,-0.0927
Glencore,2021,2022,0.0262,0.6373,0.1982,0.0145
Glencore,2022,2023,0.0085,0.663,0.1234,-0.1968
Glencore,2023,2024,0.0047,0.7368,0.0124,0.199
Repsol,2017,2018,0.0077,0.6727,0.0313,-0.0267
Repsol,2018,2019,0.0146,0.6387,0.2495,-0.057
Repsol,2019,2020,0.0245,0.636,0.2306,0.0224
Repsol,2020,2021,0.0115,0.6656,0.1122,0.1501
Repsol,2021,2022,0.0057,0.7016,0.1693,-0.1275
Repsol,2022,2023,0.0053,0.7129,0.0009,0.0445
Repsol,2023,2024,0.0031,0.7103,0.0,-0.0431
RioTinto,2014,2015,0.0144,0.6553,0.0715,0.0145
RioTinto,2015,2016,0.0127,0.6303,0.0595,0.0171
RioTinto,2016,2017,0.0113,0.6771,0.0053,-0.0563
RioTinto,2017,2018,0.0252,0.634,0.0624,0.1227
RioTinto,2018,2019,0.1557,0.5757,0.8988,0.0523
RioTinto,2019,2020,0.0223,0.6815,0.1073,-0.0136
RioTinto,2020,2021,0.0443,0.6157,0.3671,0.0437
RioTinto,2021,2022,0.0125,0.6498,0.1524,-0.005
RioTinto,2022,2023,0.1313,0.5019,0.9972,-0.2185
RioTinto,2023,2024,0.1623,0.5118,0.9397,0.1753
Shell,2014,2015,0.0197,0.6539,0.0001,-0.0016
Shell,2015,2016,0.0103,0.627,0.0,-0.0196
Shell,2016,2017,0.0232,0.6119,0.147,0.0423
Shell,2017,2018,0.0266,0.6037,0.1162,-0.0043
Shell,2018,2019,0.0257,0.6301,0.029,-0.0908
Shell,2019,2020,0.0237,0.6261,0.2463,0.0358
Shell,2020,2021,0.0453,0.5983,0.209,-0.0025
Shell,2021,2022,0.0084,0.6994,0.0408,-0.0134
Shell,2022,2023,0.0061,0.6973,0.0221,-0.0644
