firm_name,year,total_co2e_tonnes,data_method,emissions_delta_pct,sector,csrd_period,data_source_label,co2e_mt
BP,2015,366876188.5068771,country_share_proxy,,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),366.8761885068771
BP,2016,372445614.5419282,country_share_proxy,0.0152,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),372.4456145419282
BP,2017,371177109.0237936,country_share_proxy,-0.0034,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),371.1771090237936
BP,2018,370845411.3527327,country_share_proxy,-0.0009,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),370.8454113527327
BP,2019,371742625.68592113,country_share_proxy,0.0024,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),371.74262568592115
BP,2020,352631888.54272765,country_share_proxy,-0.0514,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),352.63188854272767
BP,2021,91859955.91431704,facility_direct,-0.7395,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),91.85995591431704
BP,2022,90966568.23318678,facility_direct,-0.0097,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),90.96656823318678
BP,2023,90786046.98810458,facility_direct,-0.002,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),90.78604698810459
BP,2024,88330779.45259473,facility_direct,-0.027,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),88.33077945259473
Chevron,2015,575086881.0687457,country_share_proxy,,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),575.0868810687457
Chevron,2016,576496474.4442433,country_share_proxy,0.0025,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),576.4964744442433
Chevron,2017,586505467.1403351,country_share_proxy,0.0174,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),586.5054671403351
Chevron,2018,599810195.5385149,country_share_proxy,0.0227,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),599.8101955385149
Chevron,2019,607571630.3200479,country_share_proxy,0.0129,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),607.5716303200478
Chevron,2020,563537393.4376519,country_share_proxy,-0.0725,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),563.5373934376519
Chevron,2021,251737023.81819075,facility_direct,-0.5533,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),251.73702381819075
Chevron,2022,271285522.6300392,facility_direct,0.0777,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),271.2855226300392
Chevron,2023,265677691.92991865,facility_direct,-0.0207,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),265.67769192991864
Chevron,2024,265913940.2074126,facility_direct,0.0009,Oil & Gas,Post-CSRD,Satellite-direct CT v5.4.1 (2021-2024),265.9139402074126
ConocoPhillips,2015,134970020.05722195,country_share_proxy,,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),134.97002005722194
ConocoPhillips,2016,135752499.02062064,country_share_proxy,0.0058,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),135.75249902062063
ConocoPhillips,2017,143559210.2546273,country_share_proxy,0.0575,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),143.5592102546273
ConocoPhillips,2018,147341736.64967218,country_share_proxy,0.0263,Oil & Gas,Pre-CSRD,Satellite-direct CT v5.4.1 (2021-2024),147.34173664967219
