Rank,firm_name,year_from,year_to,veris_score,veris_band,sbert_drift,gunning_fog_index,type_token_ratio,emissions_delta_pct,greenwashing_quadrant,gap_score,year_label
1,ExxonMobil,2022,2023,0.8944,Very High,0.1696,21.2041,0.1277,0.0033,2 - Greenwashing signal,0.8977,2022-2023
2,RioTinto,2023,2024,0.8935,Very High,0.1623,16.5029,0.1301,-0.017,1 - Genuine improvement,0.9105,2023-2024
3,RioTinto,2018,2019,0.8434,Very High,0.1557,17.1901,0.1124,0.0155,2 - Greenwashing signal,0.8589,2018-2019
4,RioTinto,2022,2023,0.7018,Very High,0.1313,19.9598,0.1488,0.0117,2 - Greenwashing signal,0.7135,2022-2023
5,Chevron,2023,2024,0.6685,Very High,0.116,18.2897,0.1286,0.0009,2 - Greenwashing signal,0.6694,2023-2024
6,ConocoPhillips,2017,2018,0.6644,Very High,0.1284,17.1298,0.1363,0.0263,2 - Greenwashing signal,0.6907,2017-2018
7,ConocoPhillips,2018,2019,0.3427,Very High,0.0646,18.9818,0.1863,0.0048,2 - Greenwashing signal,0.3475,2018-2019
8,Equinor,2017,2018,0.3185,Very High,0.0527,18.9041,0.1432,-0.0154,1 - Genuine improvement,0.3339,2017-2018
9,Equinor,2021,2022,0.3095,Very High,0.0441,19.7082,0.1334,-0.0476,1 - Genuine improvement,0.3571,2021-2022
10,ConocoPhillips,2022,2023,0.2659,Very High,0.0347,19.7336,0.1309,0.0718,2 - Greenwashing signal,0.3377,2022-2023
11,Eni,2016,2017,0.2508,Very High,0.0424,20.2488,0.1733,0.0034,2 - Greenwashing signal,0.2542,2016-2017
12,ConocoPhillips,2019,2020,0.2451,Very High,0.0341,19.7871,0.1439,-0.1111,1 - Genuine improvement,0.3562,2019-2020
13,ExxonMobil,2023,2024,0.2352,Very High,0.0179,18.2897,0.1286,0.0119,2 - Greenwashing signal,0.2471,2023-2024
14,RioTinto,2017,2018,0.2155,Very High,0.0252,19.073,0.1129,0.0313,2 - Greenwashing signal,0.2468,2017-2018
15,Shell,2019,2020,0.2069,Very High,0.0237,16.4579,0.1416,-0.0471,1 - Genuine improvement,0.254,2019-2020
16,TotalEnergies,2021,2022,0.2036,Very High,0.0276,17.8359,0.1453,0.0256,2 - Greenwashing signal,0.2292,2021-2022
17,Repsol,2019,2020,0.2035,High,0.0245,16.5434,0.1332,-0.0276,1 - Genuine improvement,0.2311,2019-2020
18,Glencore,2021,2022,0.2027,High,0.0262,21.0266,0.1335,-0.0155,1 - Genuine improvement,0.2182,2021-2022
19,BP,2019,2020,0.2011,High,0.0155,18.2982,0.1253,-0.0514,1 - Genuine improvement,0.2525,2019-2020
20,Chevron,2019,2020,0.1988,High,0.0218,17.4857,0.1551,-0.0725,1 - Genuine improvement,0.2713,2019-2020
21,Shell,2016,2017,0.1958,High,0.0232,18.3008,0.1704,0.0134,2 - Greenwashing signal,0.2092,2016-2017
22,Glencore,2023,2024,0.1929,High,0.0047,21.4366,0.1278,0.0219,2 - Greenwashing signal,0.2148,2023-2024
23,Shell,2017,2018,0.1923,High,0.0266,18.3122,0.1755,0.0175,2 - Greenwashing signal,0.2098,2017-2018
24,Equinor,2018,2019,0.189,High,0.008,19.0345,0.1359,-0.0065,1 - Genuine improvement,0.1955,2018-2019
25,Eni,2018,2019,0.1886,High,0.0099,21.7325,0.2158,0.0177,2 - Greenwashing signal,0.2063,2018-2019
26,BP,2018,2019,0.1885,High,0.023,17.242,0.1266,0.0024,2 - Greenwashing signal,0.1909,2018-2019
27,Glencore,2017,2018,0.1875,High,0.0105,20.3281,0.1333,0.0353,2 - Greenwashing signal,0.2228,2017-2018
28,Glencore,2018,2019,0.1807,High,0.0084,20.5965,0.1242,0.007,2 - Greenwashing signal,0.1877,2018-2019
29,Equinor,2023,2024,0.1774,High,0.0145,18.6151,0.1248,-0.0474,1 - Genuine improvement,0.2248,2023-2024
30,Chevron,2018,2019,0.1763,High,0.0139,16.7425,0.1679,0.0129,2 - Greenwashing signal,0.1892,2018-2019
31,RioTinto,2019,2020,0.1718,High,0.0223,17.2003,0.1292,-0.0281,1 - Genuine improvement,0.1999,2019-2020
32,Equinor,2015,2016,0.1699,High,0.0122,17.5062,0.1349,-0.0062,1 - Genuine improvement,0.1761,2015-2016
33,Eni,2021,2022,0.1682,High,0.0124,24.3545,0.1551,0.0068,2 - Greenwashing signal,0.175,2021-2022
34,Eni,2017,2018,0.168,High,0.0239,23.2373,0.2117,-0.0054,1 - Genuine improvement,0.1734,2017-2018
35,BP,2017,2018,0.168,High,0.0074,17.1948,0.1373,-0.0009,1 - Genuine improvement,0.1689,2017-2018
36,Eni,2019,2020,0.1671,High,0.0218,23.3715,0.1722,-0.0675,1 - Genuine improvement,0.2346,2019-2020
37,TotalEnergies,2016,2017,0.1651,High,0.0183,16.326,0.1611,0.0143,2 - Greenwashing signal,0.1794,2016-2017
38,Shell,2018,2019,0.1624,Medium,0.0257,16.061,0.152,0.0022,4 - Stagnant,0.1646,2018-2019
39,Eni,2022,2023,0.1623,Medium,0.0133,23.3387,0.1704,-0.0313,3 - Greenhushing,0.1936,2022-2023
40,BP,2021,2022,0.1606,Medium,0.0138,17.4171,0.12,-0.0097,3 - Greenhushing,0.1703,2021-2022
41,Repsol,2018,2019,0.1602,Medium,0.0146,16.0929,0.1406,-0.0038,3 - Greenhushing,0.164,2018-2019
