firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta,veris_score,veris_band,veris_rank,veris_q25,veris_q50,veris_q75,total_co2e_tonnes,emissions_delta_pct,greenwashing_quadrant,gunning_fog_index,type_token_ratio,controversy_density,social_index,n_social_paragraphs,circularity_density,word_count,obfuscation_flag,sector,eu_flag,year_label,csrd_period,quadrant_short,obfuscation_label,co2e_mt
BP,2014,2015,0.0101,0.7015,0.0219,0.0305,0.1481,Medium,71,0.141,0.1624,0.2036,366876188.5068771,,Insufficient data,16.7015,0.1355,3.0537,0.5662,348,0.4539,24233,0,Oil & Gas,True,2014-2015,Pre-CSRD,Insufficient data,Normal readability,366.8761885068771
BP,2015,2016,0.0095,0.6831,0.205,-0.0849,0.1319,Low,87,0.141,0.1624,0.2036,372445614.5419282,0.0152,4 - Stagnant,16.3946,0.1395,2.0243,0.5128,371,0.2892,24206,0,Oil & Gas,True,2015-2016,Pre-CSRD,4,Normal readability,372.4456145419282
BP,2016,2017,0.0077,0.7083,0.1985,-0.0189,0.1447,Medium,76,0.141,0.1624,0.2036,371177109.0237936,-0.0034,3 - Greenhushing,15.8763,0.1414,2.2,0.3724,365,0.1222,24545,0,Oil & Gas,True,2016-2017,Pre-CSRD,3,Normal readability,371.1771090237936
BP,2017,2018,0.0074,0.692,0.0173,0.1043,0.168,High,48,0.141,0.1624,0.2036,370845411.3527327,-0.0009,1 - Genuine improvement,17.1948,0.1373,1.7964,0.5974,381,0.2089,23937,0,Oil & Gas,True,2017-2018,Pre-CSRD,1,Normal readability,370.8454113527327
BP,2018,2019,0.023,0.643,0.1864,0.004,0.1885,High,39,0.141,0.1624,0.2036,371742625.68592113,0.0024,2 - Greenwashing signal,17.242,0.1266,0.9131,0.7382,296,0.415,24095,0,Oil & Gas,True,2018-2019,Pre-CSRD,2,Normal readability,371.74262568592115
BP,2019,2020,0.0155,0.6455,0.3389,0.0399,0.2011,High,31,0.141,0.1624,0.2036,352631888.54272765,-0.0514,1 - Genuine improvement,18.2982,0.1253,1.1982,0.6276,240,0.679,25037,0,Oil & Gas,True,2019-2020,Pre-CSRD,1,Normal readability,352.63188854272767
BP,2020,2021,0.0074,0.6595,0.128,-0.0414,0.1303,Low,89,0.141,0.1624,0.2036,91859955.91431704,-0.7395,Insufficient data -- CT coverage discontinuity,18.3889,0.1265,1.6287,0.7574,322,0.2036,24559,0,Oil & Gas,True,2020-2021,Post-CSRD,Insufficient data,Normal readability,91.85995591431704
BP,2021,2022,0.0138,0.6793,0.0299,0.0427,0.1606,Medium,56,0.141,0.1624,0.2036,90966568.23318678,-0.0097,3 - Greenhushing,17.4171,0.12,1.4635,0.6819,252,0.2769,25282,0,Oil & Gas,True,2021-2022,Post-CSRD,3,Normal readability,90.96656823318678
BP,2022,2023,0.007,0.7195,0.1455,-0.0275,0.133,Low,86,0.141,0.1624,0.2036,90786046.98810458,-0.002,3 - Greenhushing,18.1969,0.1239,1.9827,0.6286,310,0.2065,24210,0,Oil & Gas,True,2022-2023,Post-CSRD,3,Normal readability,90.78604698810459
BP,2023,2024,0.0113,0.6975,0.0963,-0.0006,0.145,Medium,75,0.141,0.1624,0.2036,88330779.45259473,-0.027,3 - Greenhushing,18.3748,0.1255,1.7674,0.6336,378,0.2877,24329,0,Oil & Gas,True,2023-2024,Post-CSRD,3,Normal readability,88.33077945259473
Chevron,2014,2015,0.0131,0.6846,0.1632,0.0332,0.1664,High,51,0.141,0.1624,0.2036,575086881.0687457,,Insufficient data,16.5925,0.1922,2.7061,0.5387,265,0.7314,13673,0,Oil & Gas,False,2014-2015,Pre-CSRD,Insufficient data,Normal readability,575.0868810687457
Chevron,2015,2016,0.0077,0.6845,0.0522,-0.1029,0.103,Low,104,0.141,0.1624,0.2036,576496474.4442433,0.0025,4 - Stagnant,16.4686,0.1877,2.8419,0.5488,233,0.1421,14075,0,Oil & Gas,False,2015-2016,Pre-CSRD,4,Normal readability,576.4964744442433
Chevron,2016,2017,0.0084,0.6756,0.0541,-0.0106,0.1344,Low,85,0.141,0.1624,0.2036,586505467.1403351,0.0174,4 - Stagnant,17.1025,0.1968,3.6551,0.5347,271,0.8205,13406,0,Oil & Gas,False,2016-2017,Pre-CSRD,4,Normal readability,586.5054671403351
