firm_name,year_from,year_to,sbert_drift,jaccard_overlap,lda_jsd,vader_delta,veris_score,veris_band,veris_rank,veris_q25,veris_q50,veris_q75
BP,2014,2015,0.0101,0.7015,0.0219,0.0305,0.1481,Medium,71,0.141,0.1624,0.2036
BP,2015,2016,0.0095,0.6831,0.205,-0.0849,0.1319,Low,87,0.141,0.1624,0.2036
BP,2016,2017,0.0077,0.7083,0.1985,-0.0189,0.1447,Medium,76,0.141,0.1624,0.2036
BP,2017,2018,0.0074,0.692,0.0173,0.1043,0.168,High,48,0.141,0.1624,0.2036
BP,2018,2019,0.023,0.643,0.1864,0.004,0.1885,High,39,0.141,0.1624,0.2036
BP,2019,2020,0.0155,0.6455,0.3389,0.0399,0.2011,High,31,0.141,0.1624,0.2036
BP,2020,2021,0.0074,0.6595,0.128,-0.0414,0.1303,Low,89,0.141,0.1624,0.2036
BP,2021,2022,0.0138,0.6793,0.0299,0.0427,0.1606,Medium,56,0.141,0.1624,0.2036
BP,2022,2023,0.007,0.7195,0.1455,-0.0275,0.133,Low,86,0.141,0.1624,0.2036
BP,2023,2024,0.0113,0.6975,0.0963,-0.0006,0.145,Medium,75,0.141,0.1624,0.2036
Chevron,2014,2015,0.0131,0.6846,0.1632,0.0332,0.1664,High,51,0.141,0.1624,0.2036
Chevron,2015,2016,0.0077,0.6845,0.0522,-0.1029,0.103,Low,104,0.141,0.1624,0.2036
Chevron,2016,2017,0.0084,0.6756,0.0541,-0.0106,0.1344,Low,85,0.141,0.1624,0.2036
Chevron,2017,2018,0.0136,0.7024,0.0552,0.0146,0.1516,Medium,66,0.141,0.1624,0.2036
Chevron,2018,2019,0.0139,0.6615,0.0648,0.0852,0.1763,High,43,0.141,0.1624,0.2036
Chevron,2019,2020,0.0218,0.595,0.2886,-0.009,0.1988,High,32,0.141,0.1624,0.2036
Chevron,2020,2021,0.0284,0.6003,0.2965,0.1075,0.2452,Very High,19,0.141,0.1624,0.2036
Chevron,2021,2022,0.0117,0.6295,0.0207,0.0246,0.1526,Medium,64,0.141,0.1624,0.2036
Chevron,2022,2023,0.0084,0.678,0.0059,0.0043,0.1373,Low,83,0.141,0.1624,0.2036
Chevron,2023,2024,0.116,0.5327,0.9749,-0.0012,0.6685,Very High,6,0.141,0.1624,0.2036
ConocoPhillips,2014,2015,0.0458,0.5786,0.5566,0.0325,0.3305,Very High,9,0.141,0.1624,0.2036
ConocoPhillips,2015,2016,0.0119,0.6489,0.033,-0.0134,0.1406,Low,80,0.141,0.1624,0.2036
ConocoPhillips,2016,2017,0.0149,0.6245,0.0853,-0.0143,0.1517,Medium,65,0.141,0.1624,0.2036
ConocoPhillips,2017,2018,0.1284,0.3508,0.6801,-0.2165,0.6644,Very High,7,0.141,0.1624,0.2036
ConocoPhillips,2018,2019,0.0646,0.3973,0.0741,-0.0262,0.3427,Very High,8,0.141,0.1624,0.2036
