Firm,Period,Balanced,Equal-Weights,SBERT-Heavy,LDA-JSD-Heavy,Jaccard-Heavy,Rank Spread
Unilever,2014->2015,1.0,2.0,1.0,3.0,2.0,2.0
ExxonMobil,2022->2023,2.0,4.0,2.0,2.0,3.0,2.0
RioTinto,2023->2024,3.0,1.0,3.0,1.0,1.0,2.0
RioTinto,2018->2019,4.0,3.0,4.0,4.0,4.0,1.0
RioTinto,2022->2023,5.0,29.0,5.0,6.0,6.0,24.0
Chevron,2023->2024,6.0,5.0,7.0,5.0,5.0,2.0
ConocoPhillips,2017->2018,7.0,52.0,6.0,7.0,7.0,46.0
ConocoPhillips,2018->2019,8.0,45.0,8.0,28.0,8.0,37.0
ConocoPhillips,2014->2015,9.0,8.0,10.0,8.0,9.0,2.0
Equinor,2017->2018,10.0,38.0,9.0,15.0,11.0,29.0
Equinor,2021->2022,11.0,17.0,11.0,9.0,10.0,8.0
RioTinto,2020->2021,12.0,15.0,12.0,16.0,12.0,4.0
Shell,2020->2021,13.0,35.0,13.0,24.0,15.0,22.0
ConocoPhillips,2022->2023,14.0,19.0,16.0,13.0,17.0,6.0
TotalEnergies,2020->2021,15.0,16.0,21.0,11.0,14.0,10.0
Unilever,2023->2024,16.0,24.0,19.0,12.0,18.0,12.0
Eni,2016->2017,17.0,71.0,14.0,30.0,20.0,57.0
Eni,2020->2021,18.0,65.0,15.0,20.0,21.0,50.0
Chevron,2020->2021,19.0,6.0,20.0,17.0,16.0,14.0
ConocoPhillips,2019->2020,20.0,20.0,17.0,21.0,13.0,8.0
Unilever,2021->2022,21.0,34.0,25.0,10.0,23.0,24.0
ExxonMobil,2023->2024,22.0,9.0,28.0,14.0,19.0,19.0
ConocoPhillips,2020->2021,23.0,30.0,18.0,25.0,22.0,12.0
RioTinto,2017->2018,24.0,12.0,23.0,37.0,24.0,25.0
Unilever,2019->2020,25.0,41.0,26.0,23.0,33.0,18.0
Shell,2019->2020,26.0,28.0,31.0,22.0,27.0,9.0
TotalEnergies,2021->2022,27.0,49.0,24.0,32.0,26.0,25.0
Repsol,2019->2020,28.0,33.0,30.0,26.0,32.0,7.0
Unilever,2020->2021,29.0,50.0,22.0,41.0,38.0,28.0
Glencore,2021->2022,30.0,37.0,27.0,29.0,35.0,10.0
BP,2019->2020,31.0,25.0,39.0,18.0,36.0,21.0
Chevron,2019->2020,32.0,48.0,33.0,19.0,30.0,29.0
Shell,2016->2017,33.0,31.0,32.0,35.0,29.0,6.0
Repsol,2020->2021,34.0,10.0,41.0,33.0,28.0,31.0
Glencore,2023->2024,35.0,7.0,44.0,36.0,37.0,37.0
Shell,2017->2018,36.0,60.0,29.0,46.0,39.0,31.0
Equinor,2018->2019,37.0,11.0,47.0,40.0,34.0,36.0
Eni,2018->2019,38.0,14.0,45.0,42.0,25.0,31.0
BP,2018->2019,39.0,47.0,34.0,34.0,43.0,13.0
Glencore,2017->2018,40.0,13.0,43.0,43.0,31.0,30.0
Glencore,2018->2019,41.0,18.0,51.0,31.0,40.0,33.0
Equinor,2023->2024,42.0,23.0,46.0,51.0,42.0,28.0
Chevron,2018->2019,43.0,22.0,49.0,47.0,44.0,27.0
RioTinto,2019->2020,44.0,67.0,37.0,56.0,62.0,30.0
Equinor,2015->2016,45.0,26.0,52.0,57.0,49.0,31.0
Glencore,2014->2015,46.0,27.0,53.0,58.0,48.0,31.0
Eni,2021->2022,47.0,32.0,54.0,50.0,45.0,22.0
BP,2017->2018,48.0,21.0,61.0,49.0,50.0,40.0
Eni,2017->2018,49.0,94.0,36.0,60.0,46.0,58.0
Eni,2019->2020,50.0,82.0,40.0,65.0,47.0,42.0
Chevron,2014->2015,51.0,36.0,55.0,39.0,56.0,20.0
TotalEnergies,2016->2017,52.0,55.0,48.0,61.0,53.0,13.0
Shell,2014->2015,53.0,66.0,42.0,81.0,60.0,39.0
Shell,2018->2019,54.0,97.0,35.0,96.0,70.0,62.0
Eni,2022->2023,55.0,44.0,57.0,72.0,41.0,31.0
BP,2021->2022,56.0,39.0,56.0,66.0,59.0,27.0
Repsol,2018->2019,57.0,86.0,59.0,27.0,68.0,59.0
