Firm,Period,Rank Spread,scenario,rank
Unilever,2014->2015,2.0,Balanced,1.0
ExxonMobil,2022->2023,2.0,Balanced,2.0
RioTinto,2023->2024,2.0,Balanced,3.0
RioTinto,2018->2019,1.0,Balanced,4.0
RioTinto,2022->2023,24.0,Balanced,5.0
Chevron,2023->2024,2.0,Balanced,6.0
ConocoPhillips,2017->2018,46.0,Balanced,7.0
ConocoPhillips,2018->2019,37.0,Balanced,8.0
ConocoPhillips,2014->2015,2.0,Balanced,9.0
Equinor,2017->2018,29.0,Balanced,10.0
Equinor,2021->2022,8.0,Balanced,11.0
RioTinto,2020->2021,4.0,Balanced,12.0
Shell,2020->2021,22.0,Balanced,13.0
ConocoPhillips,2022->2023,6.0,Balanced,14.0
TotalEnergies,2020->2021,10.0,Balanced,15.0
Unilever,2023->2024,12.0,Balanced,16.0
Eni,2016->2017,57.0,Balanced,17.0
Eni,2020->2021,50.0,Balanced,18.0
Chevron,2020->2021,14.0,Balanced,19.0
ConocoPhillips,2019->2020,8.0,Balanced,20.0
Unilever,2021->2022,24.0,Balanced,21.0
ExxonMobil,2023->2024,19.0,Balanced,22.0
ConocoPhillips,2020->2021,12.0,Balanced,23.0
RioTinto,2017->2018,25.0,Balanced,24.0
Unilever,2019->2020,18.0,Balanced,25.0
Shell,2019->2020,9.0,Balanced,26.0
TotalEnergies,2021->2022,25.0,Balanced,27.0
Repsol,2019->2020,7.0,Balanced,28.0
Unilever,2020->2021,28.0,Balanced,29.0
Glencore,2021->2022,10.0,Balanced,30.0
BP,2019->2020,21.0,Balanced,31.0
Chevron,2019->2020,29.0,Balanced,32.0
Shell,2016->2017,6.0,Balanced,33.0
Repsol,2020->2021,31.0,Balanced,34.0
Glencore,2023->2024,37.0,Balanced,35.0
Shell,2017->2018,31.0,Balanced,36.0
Equinor,2018->2019,36.0,Balanced,37.0
Eni,2018->2019,31.0,Balanced,38.0
BP,2018->2019,13.0,Balanced,39.0
Glencore,2017->2018,30.0,Balanced,40.0
Glencore,2018->2019,33.0,Balanced,41.0
Equinor,2023->2024,28.0,Balanced,42.0
Chevron,2018->2019,27.0,Balanced,43.0
RioTinto,2019->2020,30.0,Balanced,44.0
Equinor,2015->2016,31.0,Balanced,45.0
Glencore,2014->2015,31.0,Balanced,46.0
Eni,2021->2022,22.0,Balanced,47.0
BP,2017->2018,40.0,Balanced,48.0
Eni,2017->2018,58.0,Balanced,49.0
Eni,2019->2020,42.0,Balanced,50.0
Chevron,2014->2015,20.0,Balanced,51.0
